date,open,high,low,close,volume,returns_1d,returns_5d,volatility_5d,avg_volume_10d,sma_20,sma_50,above_20ma,candle_body_ratio,rsi_14,atr_14,resistance_distance,support_distance,sr_band_width,label,symbol,symbol_encoded
2024-09-18,1470.0,1482.0,1460.55,1463.45,8574714,-0.006011003192284,0.0082328625559766,0.0103308792056409,11624967.6,1488.63,1502.351,0,-0.3053612911253449,42.13843739044079,22.158943540839815,0.020602002118282,0.2454132358468004,0.2660152379650825,0,RELIANCE,1
2024-09-19,1466.25,1476.5,1455.55,1469.7,16955902,0.0042707301240219,-0.0068252466549533,0.0041805981471562,11694141.0,1487.21,1499.939,0,0.1646777964354291,44.716195359977775,22.072590430779837,0.0162618221405728,0.2486221677893448,0.2648839899299176,1,RELIANCE,1
2024-09-20,1474.0,1495.0,1471.4,1485.9,30897320,0.0110226576852419,0.0090316447100367,0.0063348495062535,12844450.2,1486.505,1497.9730000000002,0,0.5042372667696131,50.83075518898249,22.30311968572413,0.0051820445521231,0.2568140520896427,0.2619960966417659,1,RELIANCE,1
2024-09-23,1491.0,1501.5,1488.95,1493.4,8832314,0.0050474459923279,0.0149862371291671,0.0062632015703367,12826651.8,1485.5449999999998,1496.2279999999998,1,0.1912350445231119,53.40044093060353,21.82432542245812,0.0001339225927412,0.260546404178385,0.2606803267711262,0,RELIANCE,1
2024-09-24,1488.5,1500.5,1487.9,1489.4,17137444,-0.0026784518548279,0.0116144807444136,0.0067336870959366,13463570.2,1484.9925,1494.082,1,0.0714285657596453,51.84422354571618,21.165445035139676,0.0028199274875787,0.2585604941587217,0.2613804216463005,0,RELIANCE,1
2024-09-25,1483.9,1496.5,1480.2,1493.95,7069002,0.0030549214448771,0.0208411630052274,0.0048959204112318,13194450.2,1484.775,1492.017,1,0.6165643793518775,53.5041014850929,20.817913246915406,-0.0002342782556311,0.2608186351618194,0.2605843569061882,0,RELIANCE,1
2024-09-26,1490.65,1504.0,1488.05,1497.95,18818998,0.0026774657786405,0.0192216098523507,0.004937240929196,12841412.4,1483.6275,1490.451,1,0.4576802220890101,54.973466037621584,20.47020515785002,-0.0029039687573017,0.2627924830601823,0.2598885143028805,1,RELIANCE,1
2024-09-27,1499.0,1533.5,1492.0,1526.2,20597478,0.018859107446844,0.0271216097987752,0.0080536408809014,14030027.4,1484.4575,1489.241,1,0.6554216709536959,63.698751101556354,21.97233336086073,0.0,0.2764382125540559,0.2764382125540559,0,RELIANCE,1
2024-09-30,1519.4,1525.0,1474.4,1476.6,27008814,-0.0324990171668196,-0.0112494977902773,0.0187957106295321,16182731.4,1482.475,1487.67,0,-0.8458497856551477,46.61783626616305,24.102880977942107,0.0115129351212244,0.2521332791548151,0.2636462142760395,0,RELIANCE,1
2024-10-01,1480.65,1487.95,1462.8,1464.8,16431642,-0.0079913314370851,-0.0165167181415335,0.018984599583533,17232362.8,1480.26,1486.9520000000002,0,-0.6302186628143704,43.62101403862,24.177675193803392,0.0196613872200982,0.2461086837793555,0.2657700709994538,0,RELIANCE,1
2024-10-03,1436.6,1449.4,1402.1,1407.0,37757294,-0.0394593118514472,-0.0582014123631983,0.0242770559967582,20150620.8,1474.8825000000002,1485.3339999999998,0,-0.6257927986090275,32.57465398659731,26.92926982281744,0.061549395877754,0.215138592750533,0.2766879886282871,0,RELIANCE,1
2024-10-04,1403.9,1417.35,1381.8,1386.5,37072876,-0.0145700071073205,-0.0744016822991422,0.0229135972521075,22162318.2,1469.5575,1483.15,0,-0.4894514630252785,29.70177973660151,27.54503626404476,0.0772448611611971,0.2035340786152182,0.2807789397764154,0,RELIANCE,1
2024-10-07,1393.5,1396.5,1361.4,1370.7,22181340,-0.0113956004327442,-0.1018870397064605,0.0139249847769961,21290720.2,1464.8525000000002,1480.716,0,-0.6495726310663072,27.675844333012336,28.084676530898697,0.0896622163857881,0.1943532501641497,0.2840154665499379,1,RELIANCE,1
2024-10-08,1373.0,1401.0,1365.1,1397.35,17020808,0.0194426205588384,-0.0536705946092374,0.020966809649735,22109569.6,1461.5975,1478.483,0,0.6782729616079913,35.648885450071944,28.6429139215488,0.0688803807206498,0.2097183955344043,0.2785987762550542,0,RELIANCE,1
2024-10-09,1397.5,1401.0,1372.5,1374.6,14310610,-0.0162808172612445,-0.0615783724740579,0.0210173945094531,21826886.2,1457.2525,1475.573,0,-0.8035087437365385,32.36845062241072,28.632705784295315,0.0865706387312672,0.1966390222610213,0.2832096609922886,0,RELIANCE,1
2024-10-10,1380.0,1386.0,1369.4,1371.05,22358646,-0.0025825694747562,-0.0255508173418621,0.0146884426693995,23355850.6,1453.23,1472.731,0,-0.5391565940267169,31.87553277240332,27.773226799702787,0.0893840487217825,0.1945589147004121,0.2839429634221946,0,RELIANCE,1
2024-10-11,1370.0,1383.3,1368.8,1372.1,7980122,0.0007658364027569,-0.0103858636855391,0.0137839921023495,22271963.0,1447.845,1470.0649999999996,0,0.1448275762187816,32.20438430675125,26.82513917115259,0.0885503972013701,0.1951752787697689,0.2837256759711391,0,RELIANCE,1
2024-10-14,1379.45,1380.1,1368.25,1372.5,12221432,0.0002915239414038,0.0013131976362441,0.012746430613035,21434358.4,1442.84,1467.2089999999998,0,-0.5864978408018784,32.3383811335098,25.75548637321311,0.0882331511839707,0.1954098360655738,0.2836429872495446,0,RELIANCE,1
2024-10-15,1358.5,1371.7,1340.7,1344.0,33762794,-0.0207650273224043,-0.0381794110280172,0.0100753075655902,22109756.4,1436.4725,1464.1029999999998,0,-0.4677419203954219,28.07987202257649,26.18723734655503,0.1113095238095237,0.1783482142857143,0.289657738095238,0,RELIANCE,1
2024-10-16,1340.0,1364.0,1337.6,1354.1,20034438,0.0075148809523808,-0.0149134293612687,0.0106223670395405,22470036.0,1430.5625,1462.239,0,0.5340908888601883,31.52143071746144,26.202434678943963,0.1030204563916993,0.1844767742411933,0.2874972306328927,0,RELIANCE,1
2024-10-17,1365.7,1368.45,1352.05,1356.4,15543660,0.0016985451591464,-0.0106852412384668,0.0108304030905685,20248672.6,1425.21,1460.246,0,-0.5670731361540711,32.3157290126054,25.50226077330512,0.1011501032143909,0.1858596284281923,0.2870097316425832,0,RELIANCE,1
2024-10-18,1352.2,1368.4,1341.3,1359.3,12082452,0.0021380123857268,-0.0093287661249179,0.0109379902256721,17749630.2,1419.69,1458.1359999999995,0,0.2619926102585705,33.365234399138856,25.61638500378333,0.0988008533804163,0.1875965570514235,0.2863974104318399,0,RELIANCE,1
2024-10-21,1367.1,1374.0,1357.7,1369.2,14067408,0.0072831604502316,-0.0024043715846994,0.0116967156627355,16938237.0,1413.855,1456.5379999999998,0,0.1288343479242818,36.9589384881207,24.95092893208452,0.090855974291557,0.1934706397896582,0.2843266140812153,0,RELIANCE,1
2024-10-22,1369.2,1376.0,1340.2,1343.35,15831960,-0.0188796377446684,-0.000483630952381,0.0108789099529657,16819352.2,1406.3525,1453.919,0,-0.7220670189366802,32.09207393602922,25.725862579792764,0.1118472475527599,0.1779506457736256,0.2897978933263855,0,RELIANCE,1
2024-10-23,1337.5,1357.5,1335.0,1338.5,17214742,-0.0036103770424683,-0.0115205671663835,0.0100513605135564,17109765.4,1398.8075,1451.477,0,0.0444444424691358,31.26033082052324,25.49544382409328,0.1158759805752707,0.1749719835636907,0.2908479641389614,0,RELIANCE,1
2024-10-24,1335.3,1343.7,1323.1,1339.8,22155934,0.0009712364587224,-0.012238277794161,0.0099845374879432,17089494.2,1391.1,1449.001,0,0.2184465913375426,31.770774895098924,25.14576926522949,0.1147932527242871,0.1757725033587102,0.2905657560829974,0,RELIANCE,1
2024-10-25,1343.5,1344.35,1322.0,1327.85,18597496,-0.0089192416778624,-0.0231369087030088,0.009947193549657,18151231.6,1382.595,1446.3209999999997,0,-0.7002236823166207,29.595213038209398,24.94607146057023,0.1248258462928794,0.1683548593591143,0.2931807056519938,1,RELIANCE,1
2024-10-28,1337.0,1353.0,1322.1,1334.35,10824350,0.0048951312271716,-0.0254528191644757,0.0092661506627678,18011523.4,1373.0025,1443.444,0,-0.0857605150239342,32.31037578470841,25.371352070529504,0.11934649829505,0.1724060403941994,0.2917525386892494,0,RELIANCE,1
2024-10-29,1328.1,1343.2,1320.3,1340.0,12008361,0.0042342713680818,-0.0024937655860348,0.0057931504827152,15836080.1,1366.1725,1440.476,0,0.5196506323296686,34.668863745743934,25.194826922634547,0.1146268656716417,0.1758955223880597,0.2905223880597015,0,RELIANCE,1
2024-10-30,1335.0,1350.0,1325.35,1343.9,11984423,0.002910447761194,0.0040343668285394,0.0056460075044619,15031078.6,1360.1275,1437.435,0,0.3610547520870306,36.31826859065776,25.155910713874945,0.1113922166827887,0.1782870749311705,0.2896792916139593,0,RELIANCE,1
2024-10-31,1340.0,1343.0,1326.15,1332.05,9331650,-0.0088176203586577,-0.0057844454396178,0.0070917942440787,14409877.6,1356.38,1434.102,0,-0.4718100610201796,33.546878871434174,24.626917091455304,0.1212792312600878,0.170977065425472,0.2922562966855598,0,RELIANCE,1
2024-11-01,1333.05,1341.95,1333.0,1338.65,2127335,0.004954768965129,0.0081334488082238,0.0059010501565344,13414365.9,1353.9875,1430.9130000000002,0,0.625698254111939,36.45533058943999,23.574994442065645,0.1157509431143314,0.1750644305830501,0.2908153736973816,0,RELIANCE,1
